시도명,시군구명,관할구청,신호등 위치
경상남도,창원시,의창구,수산2교차로
경상남도,창원시,의창구,수산3교차로
경상남도,창원시,의창구,의창구청별관
경상남도,창원시,성산구,교육단지사거리
경상남도,창원시,성산구,외동마을앞버턴
경상남도,창원시,성산구,남산대우아파트앞보행자
경상남도,창원시,성산구,남산삼거리
경상남도,창원시,성산구,한양아파트앞보행자
경상남도,창원시,성산구,가음동성주초등학교
경상남도,창원시,성산구,중앙체육공원
경상남도,창원시,성산구,중앙로캔버라앞
경상남도,창원시,성산구,중앙사거리
경상남도,창원시,성산구,KBS방송국앞사거리
경상남도,창원시,성산구,반지까치아파트앞교량
경상남도,창원시,성산구,가음정현대위아
경상남도,창원시,성산구,창원종합테니스장
경상남도,창원시,성산구,신월사파삼거리
경상남도,창원시,성산구,중앙병원삼거리
경상남도,창원시,성산구,남양개나리삼차아파트
경상남도,창원시,성산구,남양동개나리사차아파트
경상남도,창원시,성산구,양곡오봉사입구삼거리
경상남도,창원시,성산구,귀현로삼거리
경상남도,창원시,성산구,양곡삼거리
경상남도,창원시,성산구,양곡초등학교
경상남도,창원시,성산구,양곡국가정보원입구
경상남도,창원시,성산구,현대서비스앞
경상남도,창원시,성산구,신촌광장
경상남도,창원시,성산구,신촌관문주유소앞
경상남도,창원시,성산구,신촌동대림비앤코
경상남도,창원시,성산구,반월삼거리
경상남도,창원시,성산구,두산엔진입구삼거리
경상남도,창원시,성산구,한국철강
경상남도,창원시,성산구,월림삼거리
경상남도,창원시,성산구,창곡마을입구
경상남도,창원시,성산구,창곡영흥철강앞
경상남도,창원시,성산구,창곡삼거리
경상남도,창원시,성산구,창곡세아제강앞삼거리
경상남도,창원시,성산구,공단로완암사거리
경상남도,창원시,성산구,남창원역사거리
경상남도,창원시,성산구,공단로상복사거리
경상남도,창원시,성산구,공단로정동사거리
경상남도,창원시,성산구,성주동안민교삼거리
경상남도,창원시,성산구,안민동안길삼거리
경상남도,창원시,성산구,연덕교한국화낙
경상남도,창원시,성산구,강변로연덕사거리
경상남도,창원시,성산구,목동사거리
경상남도,창원시,성산구,부산산업기계앞사거리
경상남도,창원시,성산구,강변인화정공앞삼거리
경상남도,창원시,성산구,공단LGOTIS앞삼거리
경상남도,창원시,성산구,성산사거리
경상남도,창원시,성산구,강변로동양산업앞사거리
경상남도,창원시,성산구,남산동두산인프라코아입구
경상남도,창원시,성산구,성주동남산천교
경상남도,창원시,성산구,중앙동축협앞삼거리
경상남도,창원시,성산구,중앙동덕산그린피아
경상남도,창원시,성산구,중앙삼거리
경상남도,창원시,성산구,개나리상가앞
경상남도,창원시,성산구,창원이마트후문
경상남도,창원시,성산구,상남수협앞사거리
경상남도,창원시,성산구,상남시장서측사거리
경상남도,창원시,성산구,창원국민은행앞사거리
경상남도,창원시,성산구,창원우체국앞삼거리
경상남도,창원시,성산구,한국은행사거리
경상남도,창원시,성산구,창원지방법원정문
경상남도,창원시,성산구,공단로경남금속
경상남도,창원시,성산구,신성델타
경상남도,창원시,성산구,삼동교
경상남도,창원시,성산구,삼동통일산업
경상남도,창원시,성산구,쉐플러코리아
경상남도,창원시,성산구,두산메카텍
경상남도,창원시,성산구,노블파크서문
경상남도,창원시,성산구,럭키아파트사거리
경상남도,창원시,성산구,수자원공사입구
경상남도,창원시,성산구,상남터널
경상남도,창원시,성산구,장미공원사거리
경상남도,창원시,성산구,창원고용센터
경상남도,창원시,성산구,반지동경남주유소
경상남도,창원시,성산구,대방동안남초등학교
경상남도,창원시,성산구,반송럭키아파트정문
경상남도,창원시,성산구,상남동외동초등학교
경상남도,창원시,성산구,상남시장옆인도교
경상남도,창원시,성산구,창원경륜공단입구
경상남도,창원시,성산구,반송동중앙중학교
경상남도,창원시,성산구,창원운동장앞사거리
경상남도,창원시,성산구,성주사입구
경상남도,창원시,성산구,한화테크윈앞사거리
경상남도,창원시,성산구,용지사거리
경상남도,창원시,성산구,대방동개나리일차아파트
경상남도,창원시,성산구,상남은아그랜드입구사거리
경상남도,창원시,성산구,창원시청사거리
경상남도,창원시,성산구,대방성당앞삼거리
경상남도,창원시,성산구,성주택지입구사거리
경상남도,창원시,성산구,반송초등학교
경상남도,창원시,성산구,상남중학교삼거리
경상남도,창원시,성산구,원이대로 명곡교
경상남도,창원시,성산구,귀산동대한통운앞
경상남도,창원시,성산구,귀산동두산중공업
경상남도,창원시,성산구,사파대동아파트
경상남도,창원시,성산구,동산초등학교버턴
경상남도,창원시,성산구,반송동무학아파트
경상남도,창원시,성산구,창원기능대후문
경상남도,창원시,성산구,반림동현대아파트
경상남도,창원시,성산구,내동초등학교정문버턴
경상남도,창원시,성산구,상남한마음병원앞삼거리
경상남도,창원시,성산구,용호동중앙고교입구
경상남도,창원시,성산구,성주초등학교후문사거리
경상남도,창원시,성산구,성주동창원여성가족회관
경상남도,창원시,성산구,서림산기
경상남도,창원시,성산구,대방동대암초등학교
경상남도,창원시,성산구,성주프리빌리지
