대한민국 경상남도 창원시 창원시 성산구 사파동 창이대로 681,"['35.2241936', '128.7009802']",182
대한민국 경상남도 창원시 성산구 상남동 14-4,"['35.2229033', '128.6846213']",155
대한민국 성산구 상남동 13-5번지 상남H빌딩 401호 창원시 경상남도 KR,"['35.2231226', '128.6849055']",224
대한민국 경상남도 창원시 성산구 웅남동 적현로 259,"['35.20079330000001', '128.5993799']",117
대한민국 경상남도 창원시 성산구 성산동 60,"['35.1985448', '128.6687346']",202
대한민국 성산구 중앙동 84-3번지 1층 일동상가 창원시 경상남도 KR,"['35.2260278', '128.6781871']",10
대한민국 중앙동,"['35.216323', '128.670542']",38
대한민국 경상남도 창원시 성산구 웅남동,"['35.1986561', '128.6760117']",37
대한민국 경상남도 창원시 성산구 신촌동 63-5,"['35.2006266', '128.5962136']",35
대한민국 경상남도 창원시 성산구 상남동 18-4번지 1층,"['35.221353', '128.685084']",7
대한민국 서울특별시 중구 장교동 청계천로 86 한화빌딩,"['37.5675238', '126.9865241']",86
대한민국 경상남도 양산시 북부동 489-8,"['35.3454891', '129.036701']",1198
대한민국 경상남도 창원시 성산구 상남동 36-3번지 1층,"['35.2191696', '128.6832093']",42
대한민국 경상남도 창원시 성산구 대방동 가양로 158,"['35.2093776', '128.7102582']",115
대한민국 경상남도 창원시 성산구 상남동 76-3,"['35.2218756', '128.6807051']",24
대한민국 경상남도 창원시 성산구 중앙동 중앙대로 104,"['35.2234865', '128.6807328']",101
대한민국 경상남도 창원시 성산구 상남동 76-1,"['35.2222367', '128.6814272']",59
"대한민국 경상남도 Changwon, 창원시 성산구 상남동 중앙대로 124","['35.2245588', '128.6818319']",856
대한민국 경상남도 창원시 창원시 성산구 상남동 토월로 140,"['35.2215499', '128.6894675']",23
대한민국 경상남도 창원시 성산구 중앙동 94-3,"['35.2247641', '128.6784552']",50
대한민국 경상남도 창원시 성산구 웅남동 완암로 84,"['35.207725', '128.6660041']",170
대한민국 성산구 상남동 73-2번지 위드필타워 창원시 경상남도 KR,"['35.220989', '128.6799368']",167
대한민국 경상남도 창원시 성산구 성주동 47-1,"['35.1931293', '128.693538']",66
대한민국 가음정동,"['35.2079145', '128.6871744']",1004
대한민국 경상남도 창원시 성산구 상남동 76-4,"['35.2215257', '128.6806084']",100
대한민국 성산구 가음정동 391-10번지 소라아파트 상가 지하층 2호 창원시 경상남도 KR,"['35.2080834', '128.6861894']",490
대한민국 경상남도 창원시 창원시 성산구 가음정동 정동로 153,"['35.203128', '128.6877327']",326
대한민국 경상남도 창원시 성산구 사파동 창이대로 737,"['35.219156', '128.7035237']",311
대한민국 가음정동,"['35.210856', '128.701525']",240
대한민국 경상남도 창원시 성산구 사파동 147,"['35.2188485', '128.6947316']",333
대한민국 경상남도 창원시 성산구 대방동 339-3,"['35.2159046', '128.7087304']",51
대한민국 경상남도 창원시 성산구 웅남동 두산볼보로 22,"['35.1797958', '128.6031301']",41
대한민국 성산구 상남동 44-1번지 206호 장미상가 창원시 경상남도 KR,"['35.2189019', '128.6895637']",682
대한민국 경상남도 창원시 성산구 가음정동 대정로 99,"['35.2121068', '128.703806']",308
대한민국 경상남도 창원시 성산구 마디미로70번길 2 KR 이번가빌딩 7층,"['35.2191579', '128.6815211']",124
대한민국 경남 창원시 성산구 상남동 21-9,"['35.2204592', '128.6841214']",34
대한민국 경상남도 창원시 성산구 중앙동 93-2,"['35.2244864', '128.6797329']",36
대한민국 경상남도 창원시 성산구 남양동 24,"['35.2094608', '128.7018979']",179
대한민국 성산구 대방동 357번지 상가동 3층 303호 개나리1차아파트 창원시 경상남도 KR,"['35.2128563', '128.7078166']",270
대한민국 경상남도 창원시 성산구 사파동 88-1,"['35.22057059999999', '128.7017587']",93
대한민국 경상남도 창원시 성산구 사파동 138,"['35.2224591', '128.6941205']",132
대한민국 경상남도 창원시 성산구 안민동 56-1,"['35.1876021', '128.6935659']",309
대한민국 경상남도 창원시 성산구 사파동 64-1,"['35.2241535', '128.703064']",18
대한민국 가음정동,"['35.2081025', '128.6875753']",283
대한민국 경상남도 창원시 성산구 남산동 산40 KR,"['35.2010242', '128.7059974']",83
대한민국 경상남도 창원시 성산구 상남동 45-1,"['35.2187095', '128.6906764']",151
대한민국 경상남도 창원시 성산구 중앙동 98-4,"['35.222181', '128.6761499']",33
대한민국 경상남도 창원시 성산구 대방동 355,"['35.2148646', '128.7083188']",464
대한민국 경상남도 양산시 중부동 383-3,"['35.3429512', '129.0376684']",1
대한민국 경상남도 창원시 성산구 반림동 17-13,"['35.2351516', '128.6710667']",291
대한민국 경상남도 창원시 성산구 반림동 21 21,"['35.2360127', '128.6718166']",2
대한민국 경상남도 창원시 성산구 사파정동 비음로 97,"['35.2233864', '128.705868']",154
대한민국 경상남도 창원시 성산구 중앙동 101-1,"['35.2192647', '128.6752334']",68
대한민국 성산구 상남동 29-4번지 1층 창원시 경상남도 KR,"['35.2185307', '128.68094']",376
